id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade
,,5000,5000,4975, 36 months,10.65%,162.87,B,B2
,,2500,2500,2500, 60 months,15.27%,59.83,C,C4
,,2400,2400,2400, 36 months,15.96%,84.33,C,C5
,,10000,10000,10000, 36 months,13.49%,339.31,C,C1
,,3000,3000,3000, 60 months,12.69%,67.79,B,B5
,,5000,5000,5000, 36 months,7.90%,156.46,A,A4
,,7000,7000,7000, 60 months,15.96%,170.08,C,C5
,,3000,3000,3000, 36 months,18.64%,109.43,E,E1
,,5600,5600,5600, 60 months,21.28%,152.39,F,F2
,,5375,5375,5350, 60 months,12.69%,121.45,B,B5
,,6500,6500,6500, 60 months,14.65%,153.45,C,C3
,,12000,12000,12000, 36 months,12.69%,402.54,B,B5
,,9000,9000,9000, 36 months,13.49%,305.38,C,C1
,,3000,3000,3000, 36 months,9.91%,96.68,B,B1
,,10000,10000,10000, 36 months,10.65%,325.74,B,B2
,,1000,1000,1000, 36 months,16.29%,35.31,D,D1
,,10000,10000,10000, 36 months,15.27%,347.98,C,C4
,,3600,3600,3600, 36 months,6.03%,109.57,A,A1
,,6000,6000,6000, 36 months,11.71%,198.46,B,B3
,,9200,9200,9200, 36 months,6.03%,280.01,A,A1
,,20250,20250,19142.16108, 60 months,15.27%,484.63,C,C4
,,21000,21000,21000, 36 months,12.42%,701.73,B,B4
,,10000,10000,10000, 36 months,11.71%,330.76,B,B3
,,10000,10000,10000, 36 months,11.71%,330.76,B,B3
,,6000,6000,6000, 36 months,11.71%,198.46,B,B3
,,15000,15000,15000, 36 months,9.91%,483.38,B,B1
,,15000,15000,8725, 36 months,14.27%,514.64,C,C2
,,5000,5000,5000, 60 months,16.77%,123.65,D,D2
,,4000,4000,4000, 36 months,11.71%,132.31,B,B3
,,8500,8500,8500, 36 months,11.71%,281.15,B,B3
,,4375,4375,4375, 36 months,7.51%,136.11,A,A3
,,31825,31825,31825, 36 months,7.90%,995.82,A,A4
,,10000,10000,9975, 60 months,15.96%,242.97,C,C5
,,5000,5000,5000, 36 months,8.90%,158.77,A,A5
,,7000,7000,7000, 36 months,15.96%,245.97,C,C5
,,12400,12400,12400, 36 months,10.65%,403.91,B,B2
,,10800,10800,10800, 36 months,9.91%,348.03,B,B1
,,15000,15000,15000, 36 months,7.90%,469.36,A,A4
,,6000,6000,6000, 36 months,12.42%,200.5,B,B4
,,12500,12500,12475, 60 months,12.69%,282.44,B,B5
,,9600,9600,9600, 36 months,7.51%,298.67,A,A3
,,12000,12000,12000, 36 months,7.90%,375.49,A,A4
,,3000,3000,3000, 36 months,18.25%,108.84,D,D5
,,4400,4400,4400, 36 months,16.77%,156.37,D,D2
,,6000,6000,6000, 36 months,6.03%,182.62,A,A1
,,14000,14000,14000, 36 months,9.91%,451.15,B,B1
,,5000,5000,5000, 36 months,8.90%,158.77,A,A5
,,10000,10000,10000, 36 months,10.65%,325.74,B,B2
,,10000,10000,10000, 36 months,6.03%,304.36,A,A1
,,11000,11000,11000, 36 months,6.62%,337.75,A,A2
,,15000,15000,15000, 36 months,9.91%,483.38,B,B1
,,25600,25600,25350, 36 months,9.91%,824.96,B,B1
,,7000,7000,7000, 36 months,10.65%,228.02,B,B2
,,12000,12000,12000, 36 months,15.96%,421.65,C,C5
,,12000,12000,12000, 36 months,9.91%,386.7,B,B1
