id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line
,,5000,5000,4975, 36 months,10.65%,162.87,B,B2,,10+ years,RENT,24000,Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>,credit_card,Computer,860xx,AZ,27.65,0,Jan-85
,,2500,2500,2500, 60 months,15.27%,59.83,C,C4,Ryder,< 1 year,RENT,30000,Source Verified,Dec-11,Charged Off,n,,  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>,car,bike,309xx,GA,1,0,Apr-99
,,2400,2400,2400, 36 months,15.96%,84.33,C,C5,,10+ years,RENT,12252,Not Verified,Dec-11,Fully Paid,n,,,small_business,real estate business,606xx,IL,8.72,0,Nov-01
,,10000,10000,10000, 36 months,13.49%,339.31,C,C1,AIR RESOURCES BOARD,10+ years,RENT,49200,Source Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/21/11 > to pay for property tax (borrow from friend, need to pay back) & central A/C need to be replace. I'm very sorry to let my loan expired last time.<br>",other,personel,917xx,CA,20,0,Feb-96
,,3000,3000,3000, 60 months,12.69%,67.79,B,B5,University Medical Group,1 year,RENT,80000,Source Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>",other,Personal,972xx,OR,17.94,0,Jan-96
,,5000,5000,5000, 36 months,7.90%,156.46,A,A4,Veolia Transportaton,3 years,RENT,36000,Source Verified,Dec-11,Fully Paid,n,,,wedding,My wedding loan I promise to pay back,852xx,AZ,11.2,0,Nov-04
,,7000,7000,7000, 60 months,15.96%,170.08,C,C5,Southern Star Photography,8 years,RENT,47004,Not Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/18/11 > I am planning on using the funds to pay off two retail credit cards with 24.99% interest rates, as well as a major bank credit card with a 18.99% rate.  I pay all my bills on time, looking for a lower combined payment and lower monthly payment.<br>",debt_consolidation,Loan,280xx,NC,23.51,0,Jul-05
,,3000,3000,3000, 36 months,18.64%,109.43,E,E1,MKC Accounting ,9 years,RENT,48000,Source Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/16/11 > Downpayment for a car.<br>,car,Car Downpayment,900xx,CA,5.35,0,Jan-07
,,5600,5600,5600, 60 months,21.28%,152.39,F,F2,,4 years,OWN,40000,Source Verified,Dec-11,Charged Off,n,,  Borrower added on 12/21/11 > I own a small home-based judgment collection business. I have 5 years experience collecting debts. I am now going from a home office to a small office. I also plan to buy a small debt portfolio (eg. $10K for $1M of debt) <br>My score is not A+ because I own my home and have no mortgage.<br>,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,0,Apr-04
,,5375,5375,5350, 60 months,12.69%,121.45,B,B5,Starbucks,< 1 year,RENT,15000,Verified,Dec-11,Charged Off,n,,"  Borrower added on 12/16/11 > I'm trying to build up my credit history. I live with my brother and have no car payment or credit cards. I am in community college and work full time. Im going to use the money to make some repairs around the house and get some maintenance done on my car.<br><br>  Borrower added on 12/20/11 > $1000 down only $4375 to go. Thanks to everyone that invested so far, looking forward to surprising my brother with the fixes around the house.<br>",other,Building my credit history.,774xx,TX,18.08,0,Sep-04
